region;language;types;count
CL;\N;tv;5
HK;cmn;working;43
CSHH;\N;video;4
YUCS;sr;\N;11
AL;sq;imdbDisplay;1
NL;en;alternative;1
MD;\N;working;1
NZ;mi;\N;3
BD;bn;\N;33
CN;cmn;festival;680
NO;\N;tv;152
EG;en;alternative;85
ES;es;tv;1
PH;tl;working;107
MD;\N;imdbDisplay;50
ZA;en;festival;4
IS;\N;dvd;2
ME;\N;\N;115
BG;bg;festival;6
;;;1
US;\N;\N;1014544
UA;\N;working;52
CH;en;working;11
IS;is;imdbDisplay;2
PH;tl;tv;2
XWW;\N;festival;18
SUHH;be;alternative;1
CSHH;sk;working;1
PL;pl;\N;1
DK;da;\N;2
GB;en;alternative;6
IL;en;\N;201
BE;\N;working;30
XAS;en;imdbDisplay;131
MY;\N;\N;2125
HK;yue;dvd;3
CH;it;dvd;1
VE;\N;festival;5
ES;ca;alternative;187
EE;\N;imdbDisplay;3067
ES;gl;imdbDisplay;39
JP;\N;video;195
TH;\N;\N;2259
AR;es;working;1
VE;\N;dvd;11
LK;\N;imdbDisplay;15
TR;\N;imdbDisplay;3
FI;\N;video;1045
JP;\N;dvd;463
CZ;\N;tv;41
XEU;\N;tv;2
SK;\N;tv;5
IN;\N;alternative;3
DE;en;\N;2
SG;en;dvd;13
PH;en;dvd;4
ZA;zu;imdbDisplay;6
XWW;de;dvd;1
BB;\N;\N;48
FI;\N;alternative;1533
XYU;sr;imdbDisplay;1570
DE;\N;dvd;4009
UA;\N;festival;27
NZ;en;alternative;25
LB;fr;\N;4
IN;ml;\N;563
VE;\N;video;12
BD;en;imdbDisplay;25
SK;\N;video;1
GB;en;working;16
AF;de;\N;1
TR;tr;imdbDisplay;15806
XYU;sr;\N;2383
EE;\N;tv;91
MZ;pt;tv;1
IL;ar;\N;7
MY;en;working;7
CU;\N;tv;3
IM;\N;\N;39
BE;\N;dvd;2
ZA;\N;\N;5354
HK;yue;\N;2507
MU;\N;\N;83
RO;\N;dvd;9
CO;\N;working;24
AG;\N;\N;19
TJ;tg;imdbDisplay;1
ZA;st;working;1
DZ;fr;imdbDisplay;379
VN;\N;imdbDisplay;3847
HU;\N;working;110
XEU;en;festival;671
BE;qbn;dvd;5
TW;\N;dvd;23
NO;\N;working;69
PH;en;working;93
IN;gu;\N;24
BE;fr;working;29
JP;\N;\N;89119
SUHH;ka;imdbDisplay;6
DDDE;de;\N;2
RO;en;working;2
DZ;fr;alternative;4
XWW;cmn;\N;1
BE;fr;\N;3720
FI;sv;festival;12
MX;\N;working;242
BA;bs;\N;35
GA;\N;\N;34
CY;\N;\N;792
CH;fr;tv;8
EE;et;\N;2
TJ;\N;imdbDisplay;4
XKO;\N;imdbDisplay;18
LT;\N;festival;9
AN;\N;\N;33
US;myv;working;1
ES;gl;festival;1
GB;\N;tv;343
BR;\N;working;248
CH;fr;festival;50
BO;\N;alternative;2
PG;\N;\N;21
TR;tr;alternativevideo;2
TL;\N;\N;16
LK;sd;imdbDisplay;1
AQ;\N;\N;6
SUHH;ru;alternative;379
PT;pt;imdbDisplay;14
XEU;\N;working;8
GI;\N;\N;128
IN;kn;\N;40
IR;ku;\N;1
IN;\N;\N;55251
CL;\N;\N;4792
BE;en;\N;418
BE;fr;alternative;101
ES;ca;video;4
IR;en;imdbDisplay;3
TW;\N;alternative;332
SM;\N;\N;206
FM;\N;\N;1
JP;\N;imdbDisplay;4802
BJ;fr;imdbDisplay;36
IN;ml;imdbDisplay;120
FR;en;\N;2
ES;ca;dvd;1
AT;de;imdbDisplay;4
UY;\N;festival;44
NP;\N;\N;918
DE;\N;dvdimdbDisplay;2
SUHH;et;alternative;2
GB;\N;dvdimdbDisplay;1
EE;et;alternative;1
GE;\N;festival;2
LB;ar;working;2
GB;\N;dvd;1108
CH;en;\N;40
TH;th;alternative;30
EG;ar;working;19
KR;en;imdbDisplay;2
NO;en;working;1
XNA;en;\N;1
US;haw;imdbDisplay;1
AF;en;\N;1
XWW;\N;imdbDisplay;374
CSHH;cs;imdbDisplay;592
IE;en;alternative;33
PE;\N;tv;85
HU;\N;video;108
IT;en;alternative;1
CK;\N;\N;4
XSA;es;imdbDisplay;60
HU;\N;tv;691
US;\N;videoworking;3
TW;\N;festival;9
GB;cy;alternative;7
XWW;fr;\N;4
PK;sd;imdbDisplay;1
XWW;zh;working;1
IN;en;\N;2146
MX;\N;alternative;1049
RS;\N;tv;42
LT;\N;alternative;64
BD;bn;alternative;45
MQ;\N;\N;39
SE;sv;dvd;1
BA;qbo;working;2
IE;ga;tv;1
CA;fr;\N;6720
SUHH;hy;imdbDisplay;3
ZA;en;\N;187
MX;es;working;2
XAS;en;\N;167
GB;\N;festivalworking;1
EE;\N;working;11
PK;pa;dvd;1
SUHH;ro;festival;1
NO;en;dvd;1
CZ;hr;imdbDisplay;1
BF;\N;working;1
ES;ca;\N;1396
DE;\N;working;2148
IN;mr;\N;41
XWG;\N;dvd;14
CA;\N;imdbDisplay;9
PF;\N;\N;25
UY;\N;alternative;71
US;en;tv;3
PK;ur;\N;185
XEU;\N;alternative;60
TW;\N;working;60
GU;\N;\N;55
PK;ur;imdbDisplay;6
SUHH;hy;working;2
PH;es;imdbDisplay;5
PK;en;working;2
SE;\N;working;298
SUHH;uk;\N;51
GR;\N;video;4177
TR;tr;alternative;2695
GB;gd;\N;4
PH;tl;alternative;180
LU;fr;dvd;2
SI;sl;imdbDisplay;3
PT;pt;working;1
TN;fr;video;1
UA;\N;imdbDisplay;13501
VE;\N;imdbDisplay;1052
ES;ca;tv;54
AU;\N;festival;120
SUHH;lv;imdbDisplay;12
ZA;af;alternative;48
BE;qbn;working;18
XAS;en;tv;4
XWW;it;imdbDisplay;2
SUHH;uz;alternative;1
UA;\N;dvd;1
DK;da;original;1
XWG;\N;\N;38115
SI;\N;\N;2114
LU;fr;imdbDisplay;86
BY;\N;\N;390
SR;\N;\N;25
NZ;en;dvd;6
PK;pa;\N;48
NZ;en;tv;1
SK;\N;festival;98
LR;\N;\N;18
CZ;\N;alternative;302
XWW;en;working;1212
XWW;\N;\N;410
XWW;fr;imdbDisplay;4
SUHH;uz;\N;1
BR;pt;working;1
