region;language;types;count
FR;\N;tv;1913
ES;\N;video;672
US;es;alternative;46
ES;qbp;tv;27
IN;te;\N;294
SN;\N;\N;194
JP;ja;working;20
KZ;\N;\N;452
GQ;\N;\N;7
BE;qbn;tv;91
AL;\N;alternative;84
AM;\N;\N;550
GP;\N;\N;98
BT;\N;working;1
XAS;cmn;\N;2
US;\N;video;2177
AR;\N;alternative;410
XYU;hr;alternative;10
AT;\N;dvd;40
RS;\N;working;67
US;hi;imdbDisplay;1
LK;\N;video;1
XWW;\N;working;38
KR;en;working;1
HK;zh;imdbDisplay;1
JP;\N;festival;108
LV;\N;\N;733
AM;\N;imdbDisplay;26
IS;\N;video;6
MY;cmn;\N;32
IR;fa;tv;3
XWW;pt;\N;1
US;\N;tv;1093
RU;\N;alternative;923
CH;fr;\N;232
IN;ta;alternative;69
XEU;en;video;61
ZW;\N;\N;109
UA;\N;tv;7
LK;\N;alternative;37
JE;en;\N;1
TC;\N;\N;1
IT;\N;imdbDisplay;31775
PL;\N;\N;16592
AU;\N;alternative;743
DDDE;\N;\N;6715
IQ;\N;\N;347
SE;sv;imdbDisplay;11
XEU;en;alternative;301
IN;hi;imdbDisplay;6035
ZA;en;imdbDisplay;289
CH;it;imdbDisplay;47
LI;\N;\N;511
RS;\N;dvd;11
XSA;es;festival;3
EE;et;imdbDisplay;2
AT;\N;\N;21570
DK;\N;tv;308
TR;tr;festival;87
IL;he;tv;6
BE;fr;festival;5
BY;\N;working;1
US;en;festival;5
CL;\N;dvd;41
SV;\N;\N;99
LT;\N;video;2
LV;\N;video;2
IE;ga;alternative;12
IT;en;imdbDisplay;3
TH;th;working;7
HU;hu;working;2
CN;en;working;1
AT;\N;video;11
IE;en;working;25
PH;la;\N;2
AT;en;working;1
KR;ko;\N;2
LT;en;\N;1
ES;\N;imdbDisplay;47106
DE;de;imdbDisplay;47
KR;en;\N;5
EG;ar;imdbDisplay;207
PA;\N;alternative;29
CU;\N;alternative;20
UY;\N;tv;68
ES;qbp;video;1
VE;\N;working;10
XAS;cmn;imdbDisplay;8
SI;en;\N;2
NR;\N;\N;1
ZA;tn;imdbDisplay;1
ID;id;\N;147
BE;\N;video;4
IR;fa;festival;2
IE;ga;\N;20
TW;en;\N;7
TR;en;\N;1
CSHH;\N;alternative;16
NZ;\N;\N;6102
MZ;pt;imdbDisplay;3
NL;\N;video;175
SK;\N;\N;1400
LK;\N;\N;1182
RS;\N;festival;29
AU;en;working;4
MS;\N;\N;3
RO;\N;imdbDisplay;16089
CA;en;\N;2863
PL;\N;dvd;60
TR;tr;imdbDisplaytv;76
EG;ar;\N;249
XWW;la;imdbDisplay;43
MX;\N;video;216
TR;tr;video;26
XYU;\N;imdbDisplay;1
YUCS;sr;imdbDisplay;11
US;yi;working;2
HR;en;imdbDisplay;1
BR;\N;dvd;505
SUHH;ka;video;1
SI;\N;video;15
HK;yue;video;7
RO;ro;imdbDisplay;9
HR;\N;festival;42
RU;en;alternative;1
LC;\N;\N;11
DE;\N;imdbDisplay;37679
BE;qbn;\N;2861
AL;\N;imdbDisplay;311
SE;\N;dvd;354
CH;it;\N;23
DZ;ar;\N;27
MY;ms;\N;124
CSHH;cs;tv;11
GT;\N;imdbDisplay;32
RO;\N;tv;21
PK;en;imdbDisplay;47
BI;\N;\N;50
TW;en;alternative;2
CH;it;tv;7
IQ;ku;imdbDisplay;1
AL;\N;working;1
HT;\N;\N;155
IL;en;imdbDisplay;206
IN;bn;alternative;16
SG;en;tv;1
BG;bg;imdbDisplay;22976
HK;en;festival;184
CN;cmn;video;27
HK;cmn;dvd;3
TW;vi;\N;2
FI;sv;imdbDisplay;5574
XWW;en;festival;1764
DDDE;\N;alternative;238
TR;tr;alternativeworking;5
LB;ar;alternative;16
MX;\N;imdbDisplay;23194
XEU;\N;imdbDisplay;69
SUHH;kk;\N;12
IN;kn;imdbDisplay;54
NZ;en;festival;47
FI;fi;tv;1
XSI;\N;\N;7
XPI;\N;\N;24
AR;\N;dvd;584
AF;\N;\N;221
BA;\N;\N;1006
MY;en;festival;3
CN;zh;\N;1
LA;lo;imdbDisplay;1
ZA;xh;imdbDisplay;3
\N;\N;imdbDisplay;1674
XKO;\N;\N;126
SUHH;kk;imdbDisplay;15
SUHH;az;alternative;6
GB;gd;alternative;1
BG;bg;video;1
\N;\N;festivalworking;1
US;yi;\N;18
NL;\N;working;148
GL;\N;\N;34
BE;de;alternative;3
PH;es;working;3
XWW;la;festival;1
ES;qbp;dvd;17
CA;en;video;83
BE;nl;dvd;1
MY;cmn;alternative;8
TG;\N;\N;47
HU;hu;imdbDisplay;20
CSHH;sk;tv;1
MO;\N;\N;94
BR;pt;alternative;1
FR;\N;\N;135827
IT;\N;\N;70913
CM;fr;alternative;3
FI;en;imdbDisplay;1
BO;\N;festival;1
AS;\N;\N;5
WS;\N;\N;3
UZ;\N;alternative;2
DK;\N;video;225
MC;\N;\N;78
IL;he;dvd;1
GB;gd;imdbDisplay;4
NP;\N;alternative;3
FI;fi;working;3
NP;\N;festival;1
VE;\N;\N;7651
HK;yue;alternative;86
GB;cy;\N;25
TR;tr;alternativedvd;5
IN;ur;imdbDisplay;40
XWW;de;working;2
ES;es;alternative;7
IN;ta;\N;313
XYU;sl;\N;13
CH;fr;alternative;96
CA;fr;festival;35
GR;el;\N;6
IN;hi;tv;2
AZ;\N;tv;1
LB;\N;working;1
XWW;el;imdbDisplay;1
HK;yue;original;1
BR;\N;video;579
SUHH;be;imdbDisplay;5
AT;\N;festival;15
AW;\N;\N;29
TW;cmn;\N;1
SE;\N;\N;33486
GR;\N;tv;1856
BA;bs;alternative;6
CN;cmn;\N;870
GN;\N;\N;31
MY;ms;working;5
CH;de;festival;5
XKO;\N;festival;1
MH;\N;\N;10
BY;\N;alternative;4
EE;\N;festival;113
LS;\N;\N;14
XWG;de;video;1
XKO;\N;working;1
MK;\N;festival;2
AM;hy;imdbDisplay;1
FI;\N;tv;2242
XYU;rn;\N;1
PE;\N;working;5
XWW;es;dvd;4
IN;hi;video;3
KZ;\N;alternative;9
ET;am;imdbDisplay;1
PK;pa;alternative;1
FI;\N;festival;178
JP;en;\N;2819
AO;\N;\N;106
CL;es;imdbDisplay;6
IN;te;working;14
XKV;\N;\N;257
YE;en;dvd;1
DK;\N;\N;26570
XWG;\N;tv;1053
ID;id;imdbDisplay;75
FR;en;alternative;1
LT;\N;tv;3
RU;\N;imdbDisplayworking;2
EG;en;working;6
MM;\N;\N;145
BY;\N;festival;1
XAU;\N;\N;1
SG;\N;alternative;1
MC;\N;working;2
GB;en;\N;685
AU;\N;\N;59481
IS;\N;\N;1590
IR;\N;\N;7243
XYU;sl;tv;1
BE;en;working;10
IN;\N;working;4
VA;\N;\N;8
DE;en;imdbDisplay;5
MC;\N;festival;3
\N;\N;original;522493
XEU;en;\N;2811
CSHH;\N;\N;6202
NL;\N;alternative;473
DK;\N;festival;23
TH;en;dvd;6
NO;\N;festival;29
IL;en;working;22
GT;\N;\N;220
NL;nqo;imdbDisplay;1
ZA;af;dvd;1
CZ;\N;imdbDisplay;6205
LT;\N;imdbDisplay;7593
DE;\N;tv;2633
FI;\N;working;799
AU;\N;video;332
US;\N;festivalworking;1
ES;eu;alternative;9
BR;\N;alternative;2323
CA;fr;imdbDisplay;25105
ES;qbp;\N;182
EE;\N;alternative;50
DO;\N;alternative;87
MN;\N;imdbDisplay;29
JP;en;dvd;259
AR;es;dvd;1
ZA;en;tv;5
MA;ar;\N;11
GE;\N;dvd;2
NL;nl;working;17
ZA;xh;alternative;1
XWW;en;imdbDisplay;59145
SE;\N;imdbDisplay;16511
FR;\N;video;1617
FR;\N;festival;654
CH;gsw;\N;24
XYU;sr;tv;10
PA;\N;\N;309
MK;\N;working;11
RO;\N;festival;23
ID;id;working;10
IN;en;festival;10
IT;en;\N;2
AU;\N;tv;508
PL;pl;imdbDisplay;12
IE;ga;imdbDisplay;23
EG;ar;festival;1
IN;gu;imdbDisplay;47
TM;\N;tv;3
XWG;de;alternative;1
YE;\N;\N;31
PH;en;tv;1
ES;\N;\N;67239
BE;nl;alternative;30
HU;\N;alternative;901
PA;\N;tv;1
JP;ja;festival;70
AM;\N;working;5
MY;en;video;1
PE;\N;dvd;2
LU;fr;working;5
MY;cmn;working;3
BF;\N;imdbDisplay;32
GE;\N;\N;830
UY;\N;dvd;33
BA;bs;working;4
XKO;\N;video;1
MA;fr;alternative;5
MA;fr;working;3
IE;en;tv;2
KP;\N;imdbDisplay;14
RU;\N;\N;8095
US;es;dvd;4
SUHH;ro;imdbDisplay;4
RW;\N;\N;61
PS;\N;\N;212
CG;fr;imdbDisplay;32
PR;\N;working;7
BD;en;\N;11
RS;sr;\N;1
ID;en;festival;1
\N;\N;video;96
BG;\N;alternative;1
GB;gd;video;1
IN;bn;working;7
PH;la;imdbDisplay;3
ID;en;working;4
CN;yue;festival;2
SUHH;ro;alternative;1
TH;th;imdbDisplay;207
ID;\N;\N;3339
SN;fr;\N;15
SI;\N;festival;26
PK;sd;\N;3
TH;en;working;9
JM;en;alternative;8
SUHH;ky;imdbDisplay;1
CA;hi;imdbDisplay;1
XWW;es;imdbDisplay;365
JP;ja;\N;2783532
CH;de;tv;30
FR;en;imdbDisplay;5
AI;\N;\N;5
PE;en;working;1
SK;\N;imdbDisplay;4153
XWW;en;dvd;392
GE;\N;imdbDisplay;378
CH;fr;working;10
\N;\N;festival;42
IN;te;imdbDisplay;88
BF;\N;\N;171
LB;ar;imdbDisplay;27
LB;fr;working;1
GE;ka;imdbDisplay;2
MX;\N;tv;50
SE;\N;video;2131
AT;\N;tv;116
GB;\N;festival;129
TD;\N;\N;21
CH;gsw;video;1
SG;en;working;8
RU;yi;\N;1
VN;\N;dvd;2
IL;en;festival;1
XWW;\N;tv;1
IR;fa;video;1
CZ;cs;imdbDisplay;10
XYU;sr;working;26
XYU;mk;\N;8
VN;\N;\N;540
BG;\N;\N;1362
SL;\N;\N;29
GT;\N;alternative;6
LT;\N;dvd;2
TR;ku;imdbDisplay;1
UY;\N;\N;5319
RO;\N;\N;6207
IT;\N;working;674
DO;\N;\N;1926
SI;\N;dvd;20
CF;\N;\N;7
CO;es;\N;5
IS;\N;imdbDisplay;309
ES;eu;imdbDisplay;37
MA;\N;\N;761
RS;sr;imdbDisplay;12
SUHH;et;\N;5
PR;\N;video;1
PK;en;\N;25
PA;\N;video;1
CN;cmn;working;127
XWW;pl;alternative;1
BE;fr;imdbDisplay;2711
CSHH;\N;festival;3
NL;nl;alternative;124
PL;\N;festival;289
PH;\N;\N;16021
FI;sv;video;5
CG;fr;\N;2
BF;bg;imdbDisplay;1
LV;\N;alternative;22
FO;\N;\N;63
GM;\N;\N;9
NG;en;tv;4
AR;\N;imdbDisplay;13916
FI;fi;imdbDisplay;8
GB;en;tv;1
XEU;en;tv;7
GB;cy;imdbDisplay;7
KP;\N;alternative;17
BA;sr;\N;1
LV;\N;imdbDisplay;3324
ES;\N;tv;482
BE;nl;imdbDisplay;86
TM;\N;\N;14
DZ;fr;festival;1
IN;hi;\N;2781877
US;fr;imdbDisplay;1
JM;en;imdbDisplay;31
CH;it;festival;6
XWW;\N;dvd;119
RU;\N;festival;12
PH;\N;imdbDisplay;1
US;\N;dvd;2506
KR;\N;imdbDisplay;449
CA;fr;tv;211
DDDE;\N;working;96
CSHH;sk;alternative;3
ZM;\N;\N;44
MY;en;dvd;5
NG;en;\N;115
GD;\N;\N;4
NZ;en;video;6
XEU;\N;dvd;12
ES;en;video;1
CSHH;cs;dvd;1
NO;no;imdbDisplay;7
UG;\N;\N;247
BD;bn;working;1
BY;\N;imdbDisplay;100
AZ;\N;\N;344
GE;\N;working;10
DZ;ar;working;3
EC;\N;working;3
SG;ms;alternative;1
BO;es;imdbDisplay;1
KI;\N;\N;2
LK;\N;working;1
GB;\N;tvvideo;1
RO;\N;video;2
EE;\N;video;3
HK;\N;alternative;1
CN;en;alternative;1
IR;ps;imdbDisplay;1
AL;\N;\N;1440
EC;\N;video;2
IL;en;alternative;19
LT;\N;working;2
VI;\N;\N;102
EG;ar;dvd;1
GB;en;imdbDisplay;63
MY;en;alternative;49
SY;\N;\N;396
HU;\N;festival;125
AD;\N;\N;43
\N;\N;\N;50413
SUHH;et;imdbDisplay;11
BS;\N;\N;116
\N;\N;dvdvideo;1
CSHH;cs;working;9
BR;es;\N;1
NZ;mi;imdbDisplay;2
GR;\N;imdbDisplay;24308
FI;sv;alternative;483
JP;\N;alternative;1589
PT;\N;dvd;94
CL;\N;working;28
BM;\N;\N;31
JM;en;\N;28
TN;\N;\N;536
NL;nl;dvd;16
XYU;hr;working;2
XNA;en;alternative;1
IE;\N;working;2
BE;fr;tv;59
IR;fa;dvd;2
FR;qal;\N;9
IT;it;working;5
SUHH;\N;imdbDisplay;2
XSA;es;\N;30
TN;fr;\N;37
BG;\N;imdbDisplay;2
IL;ar;imdbDisplay;51
IL;he;video;1
FR;qal;working;1
IN;hi;dvd;2
FI;\N;\N;44800
NL;\N;dvd;616
IT;it;imdbDisplay;40
BJ;fr;\N;3
XYU;hr;tv;3
DK;da;imdbDisplay;10
SN;fr;alternative;2
ZA;xh;tv;1
AZ;az;imdbDisplay;2
BA;\N;working;2
PY;es;working;1
